id,peakid,geneSymbol,peakpos,peakscore,peaknumexon,peakexlength,factor_relpeakpos,exp
iduc001axk.1,iduc001axk.1_7,SPEN,8664,3.649328041,11,8176,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001bys.1,iduc001bys.1_1,SFPQ,408,3.151376118,1,913,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001ege.1,iduc001ege.1_1,ATP1A1,86,3.156504486,1,310,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001fkg.1,iduc001fkg.1_1,FDPS,1207,3.648845865,10,257,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001fol.1,iduc001fol.1_1,CCT3,208,6.139725992,1,251,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001gdp.1,iduc001gdp.1_1,UCK2,209,3.004026299,1,280,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001gfr.1,iduc001gfr.1_1,ATP1B1,76,4.035042498,1,218,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hkm.1,iduc001hkm.1_9,CENPF,9525,4.797969394,20,981,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hkm.1,iduc001hkm.1_1,CENPF,86,5.214474207,1,133,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hob.2,iduc001hob.2_1,CAPN2,201,3.77452353,1,461,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hrs.1,iduc001hrs.1_3,ARF1,701,3.447573738,5,1361,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001lke.1,iduc001lke.1_1,MKI67,95,4.064502366,1,293,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001mok.2,iduc001mok.2_1,LDHA,201,4.276625912,1,202,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001oku.1,iduc001oku.1_2,PPP1CA,1386,3.015884922,7,465,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001pgs.1,iduc001pgs.1_1,YAP1,129,4.516621001,1,570,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001qjb.1,iduc001qjb.1_6,ERC1,6605,3.286483456,19,3439,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001shn.1,iduc001shn.1_1,CD63,169,3.150559677,1,174,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001slr.1,iduc001slr.1_1,ATP5B,162,4.918256851,1,232,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001tym.1,iduc001tym.1_1,DYNLL1,102,4.548626864,1,161,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001vtw.1,iduc001vtw.1_1,TFDP1,69,3.082500302,1,148,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001zuc.1,iduc001zuc.1_1,B2M,105,3.626953137,1,127,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002all.1,iduc002all.1_1,TPM1,133,4.863097474,1,305,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002cfj.2,iduc002cfj.2_1,SNRNP25,92,3.95419631,1,230,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002czl.2,iduc002czl.2_2,USP7,4174,3.725443724,31,2011,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
