id,geneSymbol,peakpos,peakscore,peaknumexon,peakexlength,factor_relpeakpos,exp
iduc001axk.1,SPEN,8664.00,3.64,11.00,8176.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001bys.1,SFPQ,408.00,3.15,1.00,913.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001ege.1,ATP1A1,86.00,3.15,1.00,310.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001fkg.1,FDPS,1207.00,3.64,10.00,257.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001fol.1,CCT3,208.00,6.13,1.00,251.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001gdp.1,UCK2,209.00,3.00,1.00,280.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001gfr.1,ATP1B1,76.00,4.03,1.00,218.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hkm.1,CENPF,9525.00,4.79,20.00,981.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hkm.1,CENPF,86.00,5.21,1.00,133.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hob.2,CAPN2,201.00,3.77,1.00,461.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001hrs.1,ARF1,701.00,3.44,5.00,1361.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001lke.1,MKI67,95.00,4.06,1.00,293.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001mok.2,LDHA,201.00,4.27,1.00,202.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001oku.1,PPP1CA,1386.00,3.01,7.00,465.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001pgs.1,YAP1,129.00,4.51,1.00,570.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001qjb.1,ERC1,6605.00,3.28,19.00,3439.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001shn.1,CD63,169.00,3.15,1.00,174.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001slr.1,ATP5B,162.00,4.91,1.00,232.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001tym.1,DYNLL1,102.00,4.54,1.00,161.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001vtw.1,TFDP1,69.00,3.08,1.00,148.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001zuc.1,B2M,105.00,3.62,1.00,127.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002all.1,TPM1,133.00,4.86,1.00,305.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002cfj.2,SNRNP25,92.00,3.95,1.00,230.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002czl.2,USP7,4174.00,3.72,31.00,2011.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002dbt.1,GSPT1,385.00,3.21,1.00,583.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002dlz.1,PLK1,91.00,4.32,1.00,461.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002dtx.1,MAZ,258.00,3.48,1.00,360.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
